method,n_seeds,adaptation_gain_mean,auc_sr_mean,cr_at_0_mean,cr_at_1000_mean,cr_at_200_mean,cr_at_2000_mean,cr_at_400_mean,cr_at_4000_mean,k_threshold_mean,method_mean,ne_at_0_mean,ne_at_1000_mean,ne_at_200_mean,ne_at_2000_mean,ne_at_400_mean,ne_at_4000_mean,reward_at_0_mean,reward_at_1000_mean,reward_at_200_mean,reward_at_2000_mean,reward_at_400_mean,reward_at_4000_mean,seed_mean,split_mean,sr_at_0_mean,sr_at_1000_mean,sr_at_200_mean,sr_at_2000_mean,sr_at_400_mean,sr_at_4000_mean,train_time_min_mean,ttg_at_0_mean,ttg_at_1000_mean,ttg_at_200_mean,ttg_at_2000_mean,ttg_at_400_mean,ttg_at_4000_mean,adaptation_gain_std,auc_sr_std,cr_at_0_std,cr_at_1000_std,cr_at_200_std,cr_at_2000_std,cr_at_400_std,cr_at_4000_std,k_threshold_std,method_std,ne_at_0_std,ne_at_1000_std,ne_at_200_std,ne_at_2000_std,ne_at_400_std,ne_at_4000_std,reward_at_0_std,reward_at_1000_std,reward_at_200_std,reward_at_2000_std,reward_at_400_std,reward_at_4000_std,seed_std,split_std,sr_at_0_std,sr_at_1000_std,sr_at_200_std,sr_at_2000_std,sr_at_400_std,sr_at_4000_std,train_time_min_std,ttg_at_0_std,ttg_at_1000_std,ttg_at_200_std,ttg_at_2000_std,ttg_at_400_std,ttg_at_4000_std
fomaml,7,-0.095,0.47276112922146163,0.0,0.0,0.0,0.0,0.0,0.002142857142857143,inf,nan,1.1095655501927195,1.2173929500482266,1.1192149012869488,1.2414308702336296,1.0812943003122975,1.2264926944139538,0.44161468154723865,-0.08319324400349573,0.2218100761304649,-0.013171017781676104,-0.2727048582623204,-0.7497337838387793,792.4285714285714,nan,0.1557142857142857,0.11642857142857144,0.135,0.1257142857142857,0.08642857142857142,0.060714285714285714,nan,175.0545918367347,168.95910364145658,162.83659068328186,168.96619566311762,154.49,175.04028340080967,0.07088723439378913,0.12694940048926,0.0,0.0,0.0,0.0,0.0,0.005669467095138408,nan,nan,0.1278351994968755,0.10076696544004347,0.07903209195215742,0.1475538987943766,0.1256543541714021,0.28646663948975865,0.6469484973021541,0.7584508894230804,0.8722084905312547,0.9379763689370229,1.1320107490344051,0.6362755265152853,966.1738727480433,nan,0.051835362079421826,0.0630287160556127,0.07852812659593164,0.07607170802542007,0.10625105041497573,0.044104853420435436,nan,18.937735620128436,15.967431396718402,17.233152361113326,27.585905774679528,36.190406187275656,27.47884834354594
cadre,7,-0.03071428571428572,0.564809305685676,0.0,0.0,0.0,0.0,0.0,0.0,inf,nan,1.1978961356848117,1.161766406748137,1.1659757648436682,1.1080874949217385,1.160274437271833,1.1360721473041873,0.4536228669613299,0.40738249258310305,0.5879245896944584,0.595513045148682,-0.2596552536585344,0.15482677918679416,792.4285714285714,nan,0.16214285714285714,0.155,0.16928571428571432,0.16785714285714287,0.09571428571428572,0.13142857142857142,nan,163.33759895771172,169.13924658626007,153.31115790655886,164.17372309319398,155.74009745039157,169.59555065269348,0.131669680495947,0.15083398580546586,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.2122205240121298,0.11060852685518797,0.1049019860996235,0.1557975763614205,0.09910702345453083,0.06558492488548628,0.8894675800546951,1.4141376141086155,0.9108758804828381,0.8758200516124285,0.9392654217938076,0.9109691751763885,966.1738727480433,nan,0.07341986237031631,0.1276388133236386,0.08248376463626904,0.0780948751443366,0.08378686111341142,0.08615462290335352,nan,22.683083156994222,20.177951009586568,16.770293454836555,21.191741501803257,24.32677957899765,20.651693241212342
cadre_ctx,7,-0.009285714285714283,0.48835075841886255,0.0,0.0,0.0,0.0,0.0,0.0,inf,nan,1.1536869695756693,1.2004277959276066,1.0902214847794895,1.1244738483427723,1.1047712868713648,1.0714077280467413,0.34020480379352164,1.1233170371031258,-0.09565369577973247,0.41935259813415243,-0.10487928584749115,0.31236697326635493,792.4285714285714,nan,0.14857142857142855,0.22214285714285717,0.10428571428571429,0.1542857142857143,0.105,0.1392857142857143,nan,168.76776556776557,167.4292362399505,164.08561276794035,167.4203758021427,169.34768179351514,163.79674613885143,0.1349206115779625,0.170619899452971,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.12074087507939424,0.07672327694496879,0.15176289643740618,0.07741106815231576,0.16654442233322828,0.11385791339348283,0.9308925020021073,1.0664555796060027,1.0395131852694588,0.5367021923579389,0.6660675948170336,1.0508204443522937,966.1738727480433,nan,0.08872778058544599,0.09295416177060709,0.09926515717295484,0.049365015566742824,0.06720615051218652,0.09697201363574662,nan,14.860608311682808,19.057529037346384,28.55277167124413,8.815312897088518,21.303317878247082,11.509313997361742
ppo_ft,5,-5.551115123125783e-18,0.6483286139257569,0.0,0.0,0.0,0.0,0.0,0.0,inf,nan,1.0995843693330074,1.1073363994681176,1.1486921985405227,1.121928459311567,1.1421546897926742,1.1758668433529003,0.5144559985769123,0.7507141338988574,0.7215972342801742,1.1869426384359978,1.1959537112493746,0.45006318536525747,299.6,nan,0.16,0.18,0.18,0.22000000000000003,0.21999999999999997,0.16,121.55,156.11499999999998,154.06166666666667,147.755,154.99299124868327,147.74479166666666,165.28541666666666,0.12247448713915891,0.16390795762332402,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.1740254219787547,0.164285770901896,0.04283150850454302,0.07110185152891892,0.16857291653058612,0.061373289741665726,0.6327885708364785,0.8139951439021921,0.9116478328479228,0.4267367290422207,1.5473616478644965,1.276757526577769,581.0660891843544,nan,0.05477225575051661,0.08366600265340755,0.08366600265340755,0.03409545424246465,0.14832396974191325,0.1140175425099138,10.677312395916863,20.606981523260504,24.170825504222144,16.317325914499595,6.954322397683108,17.736241855974196,14.674032832978579
