method,n_seeds,adaptation_gain_mean,auc_sr_mean,cr_at_0_mean,cr_at_1000_mean,cr_at_200_mean,cr_at_2000_mean,cr_at_400_mean,cr_at_4000_mean,k_threshold_mean,method_mean,ne_at_0_mean,ne_at_1000_mean,ne_at_200_mean,ne_at_2000_mean,ne_at_400_mean,ne_at_4000_mean,reward_at_0_mean,reward_at_1000_mean,reward_at_200_mean,reward_at_2000_mean,reward_at_400_mean,reward_at_4000_mean,seed_mean,split_mean,sr_at_0_mean,sr_at_1000_mean,sr_at_200_mean,sr_at_2000_mean,sr_at_400_mean,sr_at_4000_mean,train_time_min_mean,ttg_at_0_mean,ttg_at_1000_mean,ttg_at_200_mean,ttg_at_2000_mean,ttg_at_400_mean,ttg_at_4000_mean,adaptation_gain_std,auc_sr_std,cr_at_0_std,cr_at_1000_std,cr_at_200_std,cr_at_2000_std,cr_at_400_std,cr_at_4000_std,k_threshold_std,method_std,ne_at_0_std,ne_at_1000_std,ne_at_200_std,ne_at_2000_std,ne_at_400_std,ne_at_4000_std,reward_at_0_std,reward_at_1000_std,reward_at_200_std,reward_at_2000_std,reward_at_400_std,reward_at_4000_std,seed_std,split_std,sr_at_0_std,sr_at_1000_std,sr_at_200_std,sr_at_2000_std,sr_at_400_std,sr_at_4000_std,train_time_min_std,ttg_at_0_std,ttg_at_1000_std,ttg_at_200_std,ttg_at_2000_std,ttg_at_400_std,ttg_at_4000_std
fomaml,7,-0.24857142857142858,3.1254163782410913,0.0,0.0007142857142857143,0.004285714285714286,0.005,0.0014285714285714286,0.016428571428571428,0.0,nan,0.7357013729783162,0.9458937796470107,0.6512092037492196,1.0078801430396056,0.8377785661004523,1.1389310058446218,9.860132309186028,7.745178069401269,8.732084573372804,8.205690703683121,8.363491301402366,6.631236280455734,792.4285714285714,nan,0.9500000000000001,0.7728571428571429,0.8592857142857143,0.8228571428571428,0.8321428571428572,0.7014285714285713,52.75,115.3022507337753,116.45120931158668,122.62213075005538,123.80751493900638,127.20058120248079,125.45336877537477,0.2508936409070964,0.2434255002736597,0.0,0.001889822365046136,0.011338934190276815,0.009574271077563382,0.003779644730092272,0.035439418462389884,0.0,nan,0.2647259809020271,0.41655616965760794,0.4186864788824417,0.5780564462631356,0.4735976310574951,0.5636862547954642,0.9608205989670265,2.629476820790081,1.053485948617297,2.628101847641596,1.9697228029948934,2.771834820567048,966.1738727480433,nan,0.07879297769048542,0.21596406226610063,0.09413769044280172,0.2136168131424651,0.15889873984336542,0.21478117324605614,4.030508652763323,14.152809103776995,12.427763572441114,9.905451072585867,15.938747878948103,13.417400352196644,14.891470438731004
cadre,7,-0.08142857142857143,3.0283745845803614,0.0,0.0,0.0,0.0,0.0,0.0,57.142857142857146,nan,0.5898129537646035,0.8243536009426619,0.823506082139204,1.211799069136991,0.9985089170690792,1.209272692035587,7.909144318502335,9.13319439842903,9.020869009437765,8.730932720979325,9.191215514834822,6.740183301420717,792.4285714285714,nan,0.7785714285714286,0.8885714285714286,0.8814285714285715,0.8607142857142857,0.8907142857142858,0.6971428571428572,nan,115.81952184407069,113.57174891947638,121.47262789299639,119.51470965915887,112.56493508668488,117.48149871069245,0.29826881451852416,0.4494445615047751,0.0,0.0,0.0,0.0,0.0,0.0,97.59000729485332,nan,0.3004734380175946,0.4809046452032118,0.40410948659971335,0.9245179157964175,0.6665167077692021,0.6221724405931899,3.126999350333654,0.9123309203037818,1.4973780863474486,1.0478930985506583,0.9702807042921252,3.1891827994990076,966.1738727480433,nan,0.26567075936382684,0.07835359413763808,0.1312984604414146,0.08647873396720972,0.0831879684524036,0.26231115656247417,nan,10.791150211721957,10.102447624822416,5.615627031301352,14.490100888116368,5.698857906756809,19.28266973069403
cadre_ctx,7,-0.02785714285714285,3.4191276914979234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.6669325096394313,0.5147705091410989,0.5818409379548437,0.4691190669077671,0.3644368873193875,0.5410400621737025,9.993978332386087,9.854546934701094,9.755798279536439,9.808615629132873,10.147880880091709,9.7035281190832,792.4285714285714,nan,0.9614285714285715,0.9421428571428571,0.937857142857143,0.9407142857142858,0.9721428571428571,0.9335714285714286,nan,114.64527472527473,106.488506193097,112.32120560888687,110.41474924148493,112.1193382317241,113.93231292517007,0.08285816912336519,0.2555007585518923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.27288774117346953,0.24503841219901396,0.10342951490374887,0.16515060281964672,0.11432910387316947,0.07010835199209187,1.0040897582209176,1.314441776542295,0.7879815533960466,1.0147512610718046,0.5739844282019788,1.3530021013508344,966.1738727480433,nan,0.0821438923330216,0.11298440684659185,0.06663689811565505,0.0857043645051878,0.044333691369839605,0.11498964756715731,nan,10.563030530574846,4.581283416706844,10.534982344432402,7.420311629489796,10.701322351497957,10.118752008487247
ppo_ft,5,0.0010000000000000009,3.548015351929177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.41641505752400637,0.5301551325576727,nan,0.40813057071263226,nan,0.6757976312524698,10.248885645182828,9.883967533226668,10.506381529253021,10.357124000222745,10.503064432429456,10.312424595525492,299.6,nan,0.9789999999999999,0.9399999999999998,1.0,0.9800000000000001,1.0,0.9800000000000001,121.55,109.02113400335008,101.40588888888888,106.90599999999999,99.39533333333333,107.231,103.55522222222223,0.06895650803223723,0.06410138382994945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.1809258976995286,0.14199961204218617,nan,0.0,nan,0.0,0.48925711554684753,0.5936823942967336,0.06051692936017756,0.4778474678586326,0.029613824654816285,0.5089905500954078,581.0660891843544,nan,0.04421538193886827,0.0547722557505166,0.0,0.04472135954999579,0.0,0.04472135954999579,10.677312395916863,5.056535781115111,4.690387490902515,5.9986012953021,4.574641667812784,2.9283450957836243,1.8011925747565243
